Pollen_type_SM_morphological,Family,Genus,taxa,url_source,project_pi,project_pi_contact,whole_plant_height_m,seed_mass_mg,leaf_area_mm2,longest_whole_plant_longevity_years,plant_flowering_begin_month,plant_flowering_begin_date,leaf_dry_mass_g,leaf_life_span_months,leaf_nitrogen_content_per_leaf_dry_mass_mg_g_1,whole_plant_dispersal_syndrome,whole_plant_vegetative_phenology,whole_plant_growth_form_diversity,whole_plant_sexual_system,flower_pollination_syndrome,Leaf_dry_mass_per_area_g_mm_2,Try_dataset,Leaf_type,Try_reference
Anthocleista,Gentianaceae,Anthocleista,Anthocleista,http://datadryad.org/resource/doi:10.5061/dryad.51p4f; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Kleinschroth F; Bezeng BS; Zanne AE; Engemann, K",fritz.kln@gmail.com; bezengsimmy@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,12.04583333,,,,5,,,,,biotic,evergreen,Tree,Hermaphrodite,biotic,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Anthospermum,Rubiaceae,Anthospermum,Anthospermum,http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Engemann, K",engemann@bios.au.dk,,,,,,,,,,,,Herb,,,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Anthostema,Euphorbiaceae,Anthostema,Anthostema,,,,,,,,,,,,,,,,,,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Antiaris,Moraceae,Antiaris,Antiaris,http://datadryad.org/resource/doi:10.5061/dryad.51p4f; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Kleinschroth F; Zanne AE; Engemann, K",fritz.kln@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,3.333333333,,,,,,,,,,evergreen,Tree,,,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Antidesma t.,Phyllanthaceae,Antidesma,Antidesma,http://datadryad.org/resource/doi:10.5061/dryad.7s7r1; http://www.kew.org/data/sid ; http://datadryad.org/resource/doi:10.5061/dryad.v240b; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Osuri AM; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Wigley BJ; Bezeng BS; Zanne AE; Engemann, K",moanand@gmail.com; sid@kew.org ; benwigley@gmail.com; bezengsimmy@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,6.292079208,18.03333333,6510,,10,,,,13,abiotic,evergreen,Tree,Dioecious,biotic,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Apiaceae undif.,Apiaceae,Ammi,Apiaceae,http://ucjeps.berkeley.edu/EFT.html; http://www.leda-traitbase.org/LEDAportal/; http://www.leda-traitbase.org/LEDAportal/; http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"J. P. Grime, J. G. Hodgson and R. Hunt; D.D. Ackerly; K. Thompson; Angela Moles; Steven Travers; Michael Kleyer; Maire V; Bezeng BS; Zanne AE; Engemann, K",j.p.grime@sheffield.ac.uk; dackerly@berkeley.edu; ken.thompson@sheffield.ac.uk; a.moles@unsw.edu.au; steven.travers@ndsu.edu; michael.kleyer@uni-oldenburg.de; vmaire@gmail.com; bezengsimmy@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,0.515978763,5.463300015,12423.14806,23.08714286,,6.016393443,0.828058608,,24.79921257,abiotic,evergreen,Herb,Hermaphrodite,biotic,6.67E-05,,,
Apium t.,Apiaceae,Apium,Apium,http://ucjeps.berkeley.edu/EFT.html; http://www.leda-traitbase.org/LEDAportal/; http://www.ufz.de/biolflor/index.jsp; http://www.leda-traitbase.org/LEDAportal/; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"J. P. Grime, J. G. Hodgson and R. Hunt; D.D. Ackerly; K. Thompson; Ingolf Kuhn; Michael Kleyer; Engemann, K",j.p.grime@sheffield.ac.uk; dackerly@berkeley.edu; ken.thompson@sheffield.ac.uk; ingolf.kuehn@ufz.de; michael.kleyer@uni-oldenburg.de; engemann@bios.au.dk,0.400925926,0.487368421,2195.76375,,6.75,,0.027257395,,,,,Herb,,,1.24E-05,,,
Apocynaceae undif.,Apocynaceae,Apocynaceae,Apocynaceae,http://datadryad.org/resource/doi:10.5061/dryad.b1v2c; http://datadryad.org/resource/doi:10.5061/dryad.dr275.2; http://www.leda-traitbase.org/LEDAportal/; http://datadryad.org/resource/doi:10.5061/dryad.r3n45; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Tim Killeen; Bufford JL; de la Riva EG; Angela Moles; Steven Travers; Michael Kleyer; Price CA; Bezeng BS; Zanne AE; Engemann, K",jbufford@hawaii.edu; enga70@gmail.com; a.moles@unsw.edu.au; steven.travers@ndsu.edu; michael.kleyer@uni-oldenburg.de; charles.price@uwa.edu.au; bezengsimmy@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,1.265089943,195.9924517,5530.58801,135.5,6.906666667,,0.040993436,13.375,25.60026604,biotic,evergreen,Vine,Hermaphrodite,biotic,7.41E-06,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Araceae,Araceae,Araceae,Araceae,http://www.leda-traitbase.org/LEDAportal/; http://www.kew.org/data/sid ; http://www.leda-traitbase.org/LEDAportal/; http://datadryad.org/resource/doi:10.5061/dryad.r3n45; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Michael Kleyer; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; K. Thompson; Angela Moles; Steven Travers; Price CA; Engemann, K",michael.kleyer@uni-oldenburg.de; sid@kew.org ; ken.thompson@sheffield.ac.uk; a.moles@unsw.edu.au; steven.travers@ndsu.edu; charles.price@uwa.edu.au; engemann@bios.au.dk,0.113166667,58.53008,4579.905,23.96,5.071428571,,0.11640139,,34.67918239,,,Herb,,,2.54E-05,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Arachis,Fabaceae-Faboideae,Arachis,Arachis,http://www.kew.org/data/sid ; doi: 10.1111/j.1469-8137.2005.01530.x; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; J. Fang; Engemann, K",sid@kew.org ; jyfang@urban.pku.edu.cn; engemann@bios.au.dk,,637.2,,,,,,,31.25,,,Herb,,,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Araliaceae undif.,Araliaceae,Araliaceae,Araliaceae,http://www.kew.org/data/sid ; http://datadryad.org/resource/doi:10.5061/dryad.r3n45; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Susan Letcher; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Chacón E; Angela Moles; Steven Travers; Price CA; Bezeng BS; Zanne AE; Engemann, K",SUSAN.LETCHER@purchase.edu; sid@kew.org ; edchacon@gmail.com; a.moles@unsw.edu.au; steven.travers@ndsu.edu; charles.price@uwa.edu.au; bezengsimmy@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,7.881831283,7.089375405,8775.002051,93.25,,5.576923077,0.52170537,14.2,18.4236406,biotic,evergreen,Tree,Hermaphrodite,biotic,5.95E-05,,,
Arbutus,Ericaceae,Arbutus,Arbutus,http://www.americanforests.org/resources/bigtrees/register.php; http://www.kew.org/data/sid ; http://datadryad.org/resource/doi:10.5061/dryad.m88g7; http://datadryad.org/resource/doi:10.5061/dryad.r3n45; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Marx HE; Price CA; Zanne AE; Engemann, K",sid@kew.org ; h.marx.h@gmail.com; charles.price@uwa.edu.au; aezanne@gmail.com; engemann@bios.au.dk,13.23171645,19.1041005,2371.540606,,,,,14.8,17.61101462,,evergreen,Tree,,,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Arceuthobium,Santalaceae,Arceuthobium,Arceuthobium,http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Engemann, K",engemann@bios.au.dk,,,,,,,,,,,,Parasite,,,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Arctostaphylos,Ericaceae,Arctostaphylos,Arctostaphylos,http://www.americanforests.org/resources/bigtrees/register.php; http://www.kew.org/data/sid ; http://datadryad.org/resource/doi:10.5061/dryad.r3n45; http://www.ufz.de/biolflor/index.jsp; http://www.leda-traitbase.org/LEDAportal/; http://datadryad.org/resource/doi:10.5061/dryad.m88g7; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Price CA; Ingolf Kuhn; Michael Kleyer; Marx HE; Zanne AE; Engemann, K",sid@kew.org ; charles.price@uwa.edu.au; ingolf.kuehn@ufz.de; michael.kleyer@uni-oldenburg.de; h.marx.h@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,2.344619048,20.85516366,228.9266833,,4,,0.0102725,20.1,13.63914308,,evergreen,Shrub,,,4.49E-05,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Arecaceae undif.,Arecaceae,Arecaceae,Arecaceae,http://www.americanforests.org/resources/bigtrees/register.php; http://datadryad.org/resource/doi:10.5061/dryad.69ph0; doi:10.1890/09-1672.1; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Kraft TS; Nathan Kraft; Angela Moles; K.S. Murali; Cyrille Violle/Brian Enquist ; Bezeng BS; Zanne AE; Engemann, K",thomas.s.kraft@dartmouth.edu; nkraft@biodiversity.ubc.ca; a.moles@unsw.edu.au; cyrille.violle@cefe.cnrs.fr;benquist@email.arizona.edu; bezengsimmy@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,8.655347595,14416.97791,22235.37308,124.02,7.6,,,,18.55051334,abiotic,evergreen,Tree,Dioecious,biotic,,,,
Aristolochia,Aristolochiaceae,Aristolochia,Aristolochia,http://www.leda-traitbase.org/LEDAportal/; http://www.kew.org/data/sid ; http://www.leda-traitbase.org/LEDAportal/; http://www.ufz.de/biolflor/index.jsp; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Michael Kleyer; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; D.K. Kunzmann; Ingolf Kuhn; Engemann, K",michael.kleyer@uni-oldenburg.de; sid@kew.org ; dkunzmann@gmx.de; ingolf.kuehn@ufz.de; engemann@bios.au.dk,0.097687861,23.65,8534.625,,5,,0.535437,,,,,Liana_Shrub_Vine,,,6.27E-05,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Artemisia,Asteraceae-Anthemideae,Artemisia,Artemisia,http://www.leda-traitbase.org/LEDAportal/; http://www.kew.org/data/sid ; http://datadryad.org/resource/doi:10.5061/dryad.r3n45; doi: 10.1111/j.1469-8137.2005.01530.x; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Michael Kleyer; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Price CA; Steven Travers; J. Fang; Zanne AE; Engemann, K",michael.kleyer@uni-oldenburg.de; sid@kew.org ; charles.price@uwa.edu.au; steven.travers@ndsu.edu; jyfang@urban.pku.edu.cn; aezanne@gmail.com; engemann@bios.au.dk,0.882935484,1.508529038,1084.892071,,7.916666667,,0.054116425,,23.38722,,evergreen,Herb,,,4.99E-05,The China Plant Trait Database,broad-leaved,"Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819"
Asclepiadaceae undif.,Asclepiadaceae,Asclepiadaceae,Asclepiadaceae,,,,,,,,,,,,,,,,,,,,,
Asphodelus t.,Liliaceae-Asphodelaceae,Asphodelaceae,Asphodelus,http://www.kew.org/data/sid ; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Engemann, K",sid@kew.org ; engemann@bios.au.dk,,2.304219333,,,,,,,,,,Herb,,,,,,
Asteraceae,Asteraceae,Asteraceae,Asteraceae,http://ucjeps.berkeley.edu/EFT.html; http://datadryad.org/resource/doi:10.5061/dryad.110s9; http://datadryad.org/resource/doi:10.5061/dryad.s652h; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"S.E. Russo; D.D. Ackerly; Mason CM; Angela Moles; Steven Travers; Mason CM; Bezeng BS; Zanne AE; Engemann, K",srusso2@unl.edu; dackerly@berkeley.edu; chasemason.evolution@gmail.com; a.moles@unsw.edu.au; steven.travers@ndsu.edu; chasemason.evolution@gmail.com; bezengsimmy@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,0.431684009,5.651761754,5294.610763,32.00058283,6.669811321,,0.350063503,2.631022139,29.05708237,abiotic,evergreen,Shrub,Dioecious,biotic,6.61E-05,,,
Asteroideae undif.,Asteraceae-Asteroideae,Aster,Asteroideae,,,,,,,,,,,,,,,,,,,,,
Asystasia,Acanthaceae,Asystasia,Asystasia,http://datadryad.org/resource/doi:10.5061/dryad.b1v2c; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Bufford JL; Engemann, K",jbufford@hawaii.edu; engemann@bios.au.dk,,8.714,,,,,,,,,,Herb,,,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Atraphaxis,Polygonaceae,Atraphaxis,Atraphaxis,doi: 10.1111/j.1469-8137.2005.01530.x; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"J. Fang; Engemann, K",jyfang@urban.pku.edu.cn; engemann@bios.au.dk,,,,,,,,,19.8,,,Shrub,,,,,,
Avicennia,Avicenniaceae,Avicennia,Avicennia,http://www.americanforests.org/resources/bigtrees/register.php; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Angela Moles; Bezeng BS; Maire V; Zanne AE; Engemann, K",a.moles@unsw.edu.au; bezengsimmy@gmail.com; vmaire@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,8.11622029,,,100,9,,,,21.05,biotic,evergreen,Shrub_Tree,Hermaphrodite,biotic,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Balanites,Zygophyllaceae,Balanites,Balanites,http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2,Bezeng BS; Zanne AE,bezengsimmy@gmail.com; aezanne@gmail.com,,,,,9.666666667,,,,,biotic,evergreen,,Hermaphrodite,biotic,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Barbeya,Barbeyaceae,Barbeya,Barbeya,http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Engemann, K",engemann@bios.au.dk,,,,,,,,,,,,Tree,,,,,,
Barleria,Acanthaceae,Barleria,Barleria,http://datadryad.org/resource/doi:10.5061/dryad.7s7r1; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Osuri AM; Bezeng BS; Engemann, K",moanand@gmail.com; bezengsimmy@gmail.com; engemann@bios.au.dk,2,,,,9.5,,,,,biotic,,Shrub,Hermaphrodite,biotic,,,,
Bauhinia,Fabaceae-Caesalpinoideae,Bauhinia,Bauhinia,http://www.kew.org/data/sid ; doi:10.1890/09-1672.1; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.r3n45; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Susan Letcher; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Nathan Kraft; Bezeng BS; Price CA; Cyrille Violle/Brian Enquist ; Zanne AE; Engemann, K",SUSAN.LETCHER@purchase.edu; sid@kew.org ; nkraft@biodiversity.ubc.ca; bezengsimmy@gmail.com; charles.price@uwa.edu.au; cyrille.violle@cefe.cnrs.fr;benquist@email.arizona.edu; aezanne@gmail.com; engemann@bios.au.dk,4.025766906,344.1522703,2917,,9.142857143,,,9.5,29.1955431,biotic,deciduous,Tree,Hermaphrodite,biotic,,Categorical Plant Traits Database,broad-leaved,unpub.
Berberidaceae,Berberidaceae,Bongardia,Berberidaceae,http://datadryad.org/resource/doi:10.5061/dryad.m88g7; http://www.kew.org/data/sid ; http://datadryad.org/resource/doi:10.5061/dryad.r3n45; http://www.leda-traitbase.org/LEDAportal/; doi: 10.1111/j.1469-8137.2005.01530.x; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Marx HE; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Price CA; Steven Travers; Michael Kleyer; J. Fang; Bezeng BS; Zanne AE; Engemann, K",h.marx.h@gmail.com; sid@kew.org ; charles.price@uwa.edu.au; steven.travers@ndsu.edu; michael.kleyer@uni-oldenburg.de; jyfang@urban.pku.edu.cn; bezengsimmy@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,1.459677419,18.59559332,4240.617135,,4.862068966,,0.883290872,3,24.6276,biotic,evergreen,Herb_Shrub,Hermaphrodite,biotic,0.000208293,,,
Berberis t.,Berberidaceae,Berberidaceae,Berberis,http://datadryad.org/resource/doi:10.5061/dryad.m88g7; http://www.kew.org/data/sid ; http://datadryad.org/resource/doi:10.5061/dryad.r3n45; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Marx HE; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Price CA; Steven Travers; Y.F. Bai; Bezeng BS; Zanne AE; Engemann, K",h.marx.h@gmail.com; sid@kew.org ; charles.price@uwa.edu.au; steven.travers@ndsu.edu; yfbai@ibcas.ac.cn; bezengsimmy@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,1.967647059,19.40244844,282.9257021,,4.952380952,,0.020192672,,18.35444444,biotic,evergreen,Shrub,Hermaphrodite,biotic,7.14E-05,The China Plant Trait Database,broad-leaved,"Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819"
Bergia,Elatinaceae,Bergia,Bergia,http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Engemann, K",engemann@bios.au.dk,,,,,,,,,,,,Herb,,,,,,
Berlinia,Fabaceae-Caesalpinoideae,Berlinia,Berlinia,http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Zanne AE; Engemann, K",aezanne@gmail.com; engemann@bios.au.dk,,,,,,,,,,,evergreen,Tree,,,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Bersama,Melianthaceae,Bersama,Bersama,http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2,Bezeng BS; Zanne AE,bezengsimmy@gmail.com; aezanne@gmail.com,,,,,9.5,,,,,biotic,evergreen,,Hermaphrodite,biotic,,,,
Betula,Betulaceae,Betula,Betula,http://datadryad.org/resource/doi:10.5061/dryad.h9083; http://www.leda-traitbase.org/LEDAportal/; http://datadryad.org/resource/doi:10.5061/dryad.r3n45; http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Greg Reams; Paine CET; K. Thompson; Angela Moles; Steven Travers; Dana Royer; Price CA; Maire V; Zanne AE; Engemann, K",c.e.t.paine@stir.ac.uk; ken.thompson@sheffield.ac.uk; a.moles@unsw.edu.au; steven.travers@ndsu.edu; droyer@wesleyan.edu; charles.price@uwa.edu.au; vmaire@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,16.10179227,0.474271878,1582.368764,242.5,4.675675676,,0.069072661,4.562222222,23.07651636,,deciduous,Tree,,,4.37E-05,GLOPNET - Global Plant Trait Network Database,broad-leaved,"Wright, I. J., P. B. Reich, M. Westoby, D. D. Ackerly, Z. Baruch, F. Bongers, J. Cavender-Bares, T. Chapin, J. H. C. Cornelissen, M. Diemer, J. Flexas, E. Garnier, P. K. Groom, J. Gulias, K. Hikosaka, B. B. Lamont, T. Lee, W. Lee, C. Lusk, J. J. Midgley, M. L. Navas, U. Niinemets, J. Oleksyn, N. Osada, H. Poorter, P. Poot, L. Prior, V. I. Pyankov, C. Roumet, S. C. Thomas, M. G. Tjoelker, E. J. Veneklaas, and R. Villar. 2004. The worldwide leaf economics spectrum. Nature 428:821-827."
Betulaceae undif.,Betulaceae,Betula/Alnus/Corylus/Myrica,Betulaceae,http://datadryad.org/resource/doi:10.5061/dryad.h9083; http://www.leda-traitbase.org/LEDAportal/; http://datadryad.org/resource/doi:10.5061/dryad.r3n45; http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Greg Reams; Paine CET; D.K. Kunzmann; Angela Moles; Steven Travers; Dana Royer; Price CA; Maire V; Bezeng BS; Zanne AE; Engemann, K",c.e.t.paine@stir.ac.uk; dkunzmann@gmx.de; a.moles@unsw.edu.au; steven.travers@ndsu.edu; droyer@wesleyan.edu; charles.price@uwa.edu.au; vmaire@gmail.com; bezengsimmy@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,14.33756026,98.88001862,1936.151749,151.75,4.453125,,0.076470644,4.727692308,22.73461886,biotic,deciduous,Tree,Hermaphrodite,biotic,3.95E-05,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Bignoniaceae undif.,Bignoniaceae,Bignoniaceae,Bignoniaceae,http://datadryad.org/resource/doi:10.5061/dryad.b1v2c; http://datadryad.org/resource/doi:10.5061/dryad.r3n45; http://datadryad.org/resource/doi:10.5061/dryad.ck585; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Greg Reams; Bufford JL; Dana Royer; Angela Moles; Steven Travers; Price CA; Balzotti CS; Bezeng BS; Zanne AE; Engemann, K",jbufford@hawaii.edu; droyer@wesleyan.edu; a.moles@unsw.edu.au; steven.travers@ndsu.edu; charles.price@uwa.edu.au; cbalzotti@carnegiescience.edu; bezengsimmy@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,9.547340956,156.8109879,6647.3228,100,6.8,,0.0875,9,30.11092815,abiotic,evergreen,Tree,Hermaphrodite,biotic,1.32E-05,,,
Blepharis,Acanthaceae,Blepharis,Blepharis,http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Engemann, K",engemann@bios.au.dk,,,,,,,,,,,,Shrub,,,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Blighia,Sapindaceae,Blighia,Blighia,http://datadryad.org/resource/doi:10.5061/dryad.51p4f; http://www.kew.org/data/sid ; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Kleinschroth F; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Bezeng BS; Engemann, K",fritz.kln@gmail.com; sid@kew.org ; bezengsimmy@gmail.com; engemann@bios.au.dk,5.548387097,2940,,,9,,,,,biotic,,Shrub_Tree,Hermaphrodite,biotic,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
