References pollen records,References pollen taxonomy,Reference phytogeographical affinity,References habit,References plant functional types
"Bellini, C., Condoluci, C., Giachi, G., Gonnelli, T., Lippi, M. M. 2011 Interpretative scenarios emerging from plant micro-and macroremains in the Iron Age site of Salut, Sultanate of Oman. Journal of archaeological science. Vol. 38: 2775-2789. https://doi.org/10.1016/j.jas.2011.06.021","El Naggar, S., & El-Husseini, N. (2001). Pollen Atlas of the Flora of Egypt. 2. Species of Polygonaceae. Taeckholmia, 21(1), 143-151.","Dai, X., Li, X., Song, X., Li, X., & Liu, X. (2021). The evolutionary history and phylogeographic pattern of Hippuris vulgaris: hybridization and long-distance dispersal from China. Plant Systematics and Evolution, 307, 1-8.","Coimbra, A. T., Ferreira, S., & Duarte, A. P. (2020). Genus Ruta: A natural source of high value products with biological and pharmacological properties. Journal of ethnopharmacology, 260, 113076.",
"Ben Tiba, B. 1987. Recherches pollenanalytiques à Djebel El Ghorra, Tunisie septentrionale : premières approches. Agronomie et Horticulture 2:57-60.

","Ferguson, I. K. (1975). Pollen morphology of the tribe Triclisieae of the Menispermaceae in relation to its taxonomy. Kew Bulletin, 49-75.","Darbyshire, I., Vollesen, K., & Kelbessa, E. (2015). Acanthaceae, Part 2. En J. R. Timberlake & E. S. Martins (Eds.), Flora Zambesiaca (Vol. 8(6), pp. vi, 1-314). Kew, UK: Royal Botanic Gardens, Kew. ISBN 9781842464137","Cook, C. D., Gut, B. J., Rix, E. M., & Schneller, J. (1974). Water plants of the world: a manual for the identification of the genera of freshwater macrophytes. Springer Science & Business Media.",
"Ben Tiba, B. 1995. Cinq millénaires d_histoire de la végétation à Djebel El Ghorra, Tunisie septentrionale. Pages 49-55 in L. Thomas and E. Roche, editors. Palynologie africaine. CIFEG, Publications occasionnelles.

","Ferguson, I.K. (1980). The pollen morphology of Ceratonia (LeguminosaeCaesalpinioideae). Kew Bulletin 35: 273–277.","Davidson, C. (1973). An anatomical and morphological study of Datiscaceae. Aliso: A Journal of Systematic and Floristic Botany, 8(1), 49-110.","Crandall-Stotler, B., Stotler, R. E., & Long, D. G. (2009). Phylogeny and classification of the Marchantiophyta. Edinburgh journal of botany, 66(1), 155-198.",
"Ben Tiba, B., and M. Reille. 1982. Recherches pollenanalytiques dans les montagnes de Kroumirie (Tunisie septentrionale) : premiers résultats. Ecologia Mediterranea 3(4):75-86.","Fernández-González, D., & Lobreau-Callen, D. (1996). Le pollen de la tribu des Acalypheae (Acalyphoideae, Euphorbiaceae). Grana, 35(5), 266-284.","De Benedetti, C., Gerasimenko, N., Ravazzi, C., & Magri, D. (2022). History of Tilia in Europe since the Eemian: Past distribution patterns. Review of Palaeobotany and Palynology, 307, 104778.","Crowder, A. A., Pearson, M. C., Grubb, P. J., & Langlois, P. H. (1990). Drosera L. Journal of Ecology, 78(1), 233-267.",
"Benslama, M., V. Andrieu-Ponel, F. Guiter, M. Reille, J.L. de Beaulieu, J. Migliore, and M. Djamali. 2010. Nouvelles contributions à l_histoire tardiglaciaire et holocène de la végétation en Algérie : analyses polliniques de deux profils sédimentaires du complexe humide d_El-Kala. [Pollen analysis from two littoral marshes (Bourdim and Garaat El-Ouez) in the El-Kala wet complex (North-East Algeria). Lateglacial and Holocene history of Algerian vegetation]. Comptes Rendus Biologies 333:744-754.","Fuchs, H. P. (1967). Pollen morphology of the family Bombacaceae. Review of Palaeobotany and Palynology, 3(1-4), 119-132.","de Oliveira, L. D. S., da Silva, M. J., & de Sales, M. F. (2013). Synopsis of the tribe Hureae (Euphorbioideae, Euphorbiaceae). Brittonia, 65, 310-329.","Cusma-Velari, T., & Feoli-Chiapella, L. (2009). The so-called primitive genera of Genisteae (Fabaceae): systematic and phyletic considerations based on karyological data. Botanical Journal of the Linnean Society, 160(2), 232-248.",
"Beucher 1979 Flore: contexte palynologique. In: Petit-Maire N. (ed.). Le Sahara Atlantique à l_Holocène - Peuplement et écologie. Mémoires du Centre de Recherches Anthropologiques Préhistoriques et Ethnographiques, Alger.  Vol 28: 235-237","Fuchs, H. P. (1970). Ecological and palynological notes on Pelliciera rhizophorae. Acta Botanica Neerlandica, 19(6), 884-894.","De Rigo, D., Caudullo, G., Houston Durrant, T., & San-Miguel-Ayanz, J. (2016). The European Atlas of Forest Tree Species: modelling, data and information on forest tree species. European atlas of forest tree species, 40-45.","Dahl, Å. E. (1990). Infrageneric division of the genus Hypecoum (Papaveraceae). Nordic journal of botany, 10(2), 129-140.",
"Bezembinder, L., and A. Niessen. 1989. Palynologisch en geomorphologisch onderzoek langs de bovenloop van de Rio Zezere, Serra da Estrela, Portugal. Master's thesis, Vakgroep Paleobotanie en Palynologie, Rijksuniversiteit Utrecht, Utrecht, The Netherlands.","Furness, C. A. (1996). Pollen morphology of Acanthopsis Harvey, Acanthus L. and Blepharis Jussieu (Acanthaceae: Acantheae). Review of Palaeobotany and Palynology, 92(3-4), 253-268.","Deng, T., Zhang, J. W., Meng, Y., Volis, S., Sun, H., & Nie, Z. L. (2017). Role of the Qinghai-Tibetan Plateau uplift in the Northern Hemisphere disjunction: evidence from two herbaceous genera of Rubiaceae. Scientific Reports, 7(1), 13411.","Dahlgren, R. M., Clifford, H. T., & Yeo, P. F. (2012). The families of the monocotyledons: structure, evolution, and taxonomy. Springer Science & Business Media. Chicago",
"Bezembinder, L., and A. Niessen. 1989. Palynologisch en geomorphologisch onderzoek langs de bovenloop van de Rio Zezere, Serra da Estrela, Portugal. Master's thesis, Vakgroep Paleobotanie en Palynologie, Rijksuniversiteit Utrecht, Utrecht, The Netherlands.

","García Murillo, P. (1993). Estudio palinológico del género Potamogeton L. en la península Ibérica. Botanica complutensis, 18, 79-92.","Denk, T., & Grimm, G. W. (2005). Phylogeny and biogeography of Zelkova (Ulmaceae sensu stricto) as inferred from leaf morphology, ITS sequence data and the fossil record. Botanical Journal of the Linnean Society, 147(2), 129–157. https://doi.org/10.1111/j.1095-8339.2005.00354.x","Dai, X., Li, X., Song, X., Li, X., & Liu, X. (2021). The evolutionary history and phylogeographic pattern of Hippuris vulgaris: hybridization and long-distance dispersal from China. Plant Systematics and Evolution, 307, 1-8.",
"Bisculm, M., D. Colombaroli, E. Vescovi, J. van Leeuwen, P.D. Henne, J. Rothen, G. Procacci, S. Pasta, T. La Mantia, and W. Tinner. 2012. Holocene vegetation and fire dynamics in the supra-mediterranean belt of the Nebrodi Mountains (Sicily, Italy). Journal of Quaternary Science 27(7):687-698. [DOI: 10.1002/jqs.2551]","Gonçalves-Esteves, V., Vieira, G. R. M., Carvalho, R. J. P. D., Crespo, S. R. D. M., & Mendonça, C. B. F. (2020). Pollen morphology of some species of Spermacoceae ss (Rubiaceae) of the Atlantic Forest, Rio de Janeiro, Brazil. Acta Botanica Brasilica, 34, 243-255.","Dinda, B., Das, N., Dinda, S., Dinda, M., & SilSarma, I. (2015). The genus Sida L.–A traditional medicine: Its ethnopharmacological, phytochemical and pharmacological data for commercial exploitation in herbal drugs industry. Journal of Ethnopharmacology, 176, 135-176.","Damesin, C., Rambal, S., & Joffre, R. (1998). Co-occurrence of trees with different leaf habit: a functional approach on Mediterranean oaks. Acta Oecologica, 19(3), 195-204.",
"Bonnefille, R. 1972. Associations polliniques actuelles et quaternaires en Ethiopie (Vallées de l'Awash et de l'Omo). Thesis, University of Paris VI.","Gosling, W. D., Miller, C. S., & Livingstone, D. A. (2013). Atlas of the tropical West African pollen flora. Review of Palaeobotany and Palynology, 199, 1-135.","Ekalu, A. (2021). Medicinal uses, phytochemistry, and pharmacological activities of Mitracarpus species (Rubiaceae): A review. Scientific African, 11, e00692.","Darbyshire, I., Vollesen, K., & Kelbessa, E. (2015). Acanthaceae, Part 2. En J. R. Timberlake & E. S. Martins (Eds.), Flora Zambesiaca (Vol. 8(6), pp. vi, 1-314). Kew, UK: Royal Botanic Gardens, Kew. ISBN 9781842464137",
"Bonnefille, R. 1988 Palynologie des sédiments Holocènes de sites archéologiques du Quatar. In: Inizan M.-L. (Ed). Préhistoire à Quatar, Recherche sur les civilisations (Eds) 2.","Gosling, W. D., Miller, C. S., & Livingstone, D. A. (2013). Atlas of the tropical West African pollen flora. Review of Palaeobotany and Palynology, 199, 1-135. ","El Ghazali, G. E. B. (1993). A Study on the Pollen Flora of Sudan. Review of Palaeobotany and Palynology, 76, 99-345.","Davidson, C. (1973). An anatomical and morphological study of Datiscaceae. Aliso: A Journal of Systematic and Floristic Botany, 8(1), 49-110.",
"Bonnefille, R., & Hamilton, A. C. (1986). Quaternary and Late Tertiary history of Ethiopian vegetation. Acta Universitatis Upsaliensis, Symbolae Botanicae Upsalienses, 26(2), 48–63.","Grant, M., Blackmore, S., & Morton, C. (2000). Pollen morphology of the subfamily Aurantioideae (Rutaceae). Grana, 39(1), 8-20.","Erbar, C., & Leins, P. (1995). Portioned pollen release and the syndromes of secondary pollen presentation in the Campanulales-Asterales-complex. Flora, 190(4), 323-338.","Davies, F. G., & Verdcourt, B. (1998). Flora of Tropical East Africa-Sapindaceae. CRC Press.",
"Bonnefille, R., and G. Riollet. 1988. Palynologie des sédiments Holocènes de sites archéologiques du Quatar. Pages 137-145 in M.L. Inizan, editor. Préhistoire à Quatar, Recherche sur les civilisations. Volume 2.","Grímsson, F., Grimm, G. W., & Zetter, R. (2018). Evolution of pollen morphology in Loranthaceae. Grana, 57(1-2), 16-116.","Fang, J., & Lechowicz, M. J. (2006). Climatic limits for the present distribution of beech (Fagus L.) species in the world. Journal of Biogeography, 33(10), 1804-1819.","De Benedetti, C., Gerasimenko, N., Ravazzi, C., & Magri, D. (2022). History of Tilia in Europe since the Eemian: Past distribution patterns. Review of Palaeobotany and Palynology, 307, 104778.",
"Bonnefille, R., Buchet, G., & Vogel, J. C. (1987). Contribution palynologique à l'histoire récente de la forêt de Wenchi (Ethiopie). Mémoires et Travaux de l'École Pratique des Hautes Études, Institut de Montpellier, 17, 143–158.







","Hamdy, R., & Shamso, E. (2010). Pollen morphology of Sterculiaceae (s. str.) in Egypt and its taxonomic significance. Egyptian Journal of Botany, 50, 103-117.","Feng, A. L., Lin, M., Tian, L., Zhu, H. Y., Guo, H., Singamaneni, S., ... & Xu, F. (2015). Selective enhancement of red emission from upconversion nanoparticles via surface plasmon-coupled emission. RSC advances, 5(94), 76825-76835.","de Loewenstern, A. B., & Garbari, F. (2002). Karyological aspects of the genus Neurada L.(Neuradaceae JG Agardh). Caryologia, 55(4), 361-365.",
"Bonnefille, R.; Hamilton, A.C. 1986 Quaternary and Late Tertiary history of ethiopian vegetation. Acta Univ. Symb. Bot. Ups.","Harley, M. M. (1985). Pollen morphology and taxonomy of the tribe Fibraureae (Menispermaceae). Kew Bulletin, 553-565.","Fernandes, R., & Diniz, M. A. (2005). Avicenniaceae, Nesogenaceae, Verbenaceae, and Lamiaceae (subfamilies Viticoideae and Ajugoideae). Flora Zambesiaca 8(7). Richmond: Royal Botanic Gardens, Kew.","De Rigo, D., Caudullo, G., Houston Durrant, T., & San-Miguel-Ayanz, J. (2016). The European Atlas of Forest Tree Species: modelling, data and information on forest tree species. European atlas of forest tree species, 40-45.",
"Bonnefille, R.; Lézine, A.-M. 1981. Evolution des climats dans les zones intertropicales d'Afrique orientale. R&D programme in the fiel of environ, climatology sub-programme, contact group \Reconstitution of past climates\"". Extended abstract.""","Harley, M. M. (1991). The pollen morphology of the Sapotaceae. Kew bulletin, 379-491.","Fritsch, P. W. (2001). Phylogeny and biogeography of the flowering plant genus Styrax (Styracaceae) based on chloroplast DNA restriction sites and DNA sequences of the internal transcribed spacer region. Molecular Phylogenetics and Evolution, 19(3), 387-408.","De Ruiter, G. (1976). Revision of the genera Myrianthus and Musanga (Moraceae). Bulletin du Jardin botanique national de Belgique/Bulletin van de Nationale Plantentuin van Belgie, 471-510.",
"Bonnefille, R.; Lézine, A.-M. 1984. Environnement végétal du Rift éthiopien au Quaternaire récent d'après l'étude palynologique du sondage du lac Abiyata. Revue de Paléobiologie, volume spécial.

","Harley, M. M., & Baker, W. J. (2001). Pollen aperture morphology in Arecaceae: Application within phylogenetic analyses, and a summary of record of palm-like pollen the fossil. Grana, 40(1-2), 45-77.","Funez, L. A., & Hassemer, G. (2018). Novelties in the genus Persicaria (Polygonaceae) in Brazil: A new species, a new combination, and a diagnostic key to all species. Nordic Journal of Botany, 36(1_2), njb-01631.","Deng, T., Zhang, J. W., Meng, Y., Volis, S., Sun, H., & Nie, Z. L. (2017). Role of the Qinghai-Tibetan Plateau uplift in the Northern Hemisphere disjunction: evidence from two herbaceous genera of Rubiaceae. Scientific Reports, 7(1), 13411.",
"Bonnefille, R.; Riollet, G. 1988 Palynologie des sédiments Holocènes de sites archéologiques du Quatar. In: Inizan M.-L. (Ed). Préhistoire à Quatar, Recherche sur les civilisations (Eds) 2.","Harley, M. M., & Ferguson, I. K. (1982). Pollen morphology and taxonomy of the tribe Menispermeae (Menispermaceae). Kew Bulletin, 353-366.","Funk, V., Susanna, A., Stuessy, T., & Bayer, R. (2009). Systematics, Evolution, and Biogeography of Compositae. Vienna: International Association for Plant Taxonomy. ISBN: 978-3-9501754-3-1.","Denk, T., & Grimm, G. W. (2005). Phylogeny and biogeography of Zelkova (Ulmaceae sensu stricto) as inferred from leaf morphology, ITS sequence data and the fossil record. Botanical Journal of the Linnean Society, 147(2), 129-157.",
"Bonnefille, R.; Robert, C.; Delibrias, G.; Elenga, H.; Herbin, J.P.; Lézine, A.M.; Perinet, G.; Tiercelin, J.J. 1986. Palaeoenvironment of Lake Abijata, Ethiopia, during the past 2000 years In: Frostick L.E. et al (eds). Sedimentation in the African Rifts. Geological Society Special Publication.","Harley, M. M., Song, U., & Banks, H. I. (2005). Pollen morphology and systematics of Burseraceae. Grana, 44(4), 282-299.","García, M. A., Costea, M., Kuzmina, M., & Stefanovi?, S. (2014). Phylogeny, character evolution, and biogeography of Cuscuta (dodders; Convolvulaceae) inferred from coding plastid and nuclear sequences. American journal of botany, 101(4), 670-690.","Dubois, J. J. B., & Blazich, F. A. (2008). Lonicera L. The Woody Plant Seed Manual. US Department of Agriculture, Forest Service, Washington DC, 682-688.",
"Bonnefille, R.; Rossignol-Strick, M.; Riollet, G. 1982 Organic matter and palynology of DSDP site 367 Pliocene-Pleistocene cores off West Africa. Oceanolica Acta","Hoen, P. P., & Punt, W. (1989). Pollen morphology of the tribe Dorstenieae (Moraceae). Review of palaeobotany and palynology, 57(3-4), 187-220.","Ghazanfar, S. A. & Edmondson, J. R (Eds). (2016) Flora of Iraq, Volume 5 Part 1: Elatinaceae to Sphenocleaceae.","Ekalu, A. (2021). Medicinal uses, phytochemistry, and pharmacological activities of Mitracarpus species (Rubiaceae): A review. Scientific African, 11, e00692.",
"Bordon, A., O. Peyron, A.M. Lezine, S. Brewer, and E. Fouache. 2009. Pollen-inferred Late-Glacial and Holocene climate in southern Balkans (Lake Maliq). Quaternary International 200:19-30.","Huysmans, S., Dessein, S., Smets, E., & Robbrecht, E. (2003). Pollen morphology of NW European representatives confirms monophyly of Rubieae (Rubiaceae). Review of Palaeobotany and Palynology, 127(3-4), 219-240.","Ghazanfar, S. A., Raven, P. H., Townsend, C. C., Taylor, P., & Mobayen, S. (2013). Flora of Iraq (Vol. 5, Part 2, pp. xi, 1-349). In S. A. Ghazanfar & J. R. Edmondson (Eds.), Kew, UK: Royal Botanic Gardens, Kew. Published on behalf of the Ministry of Agriculture, Republic of Iraq by Royal Botanic Gardens, Kew. ISBN 978-1-84246-493-9.","El Ghazali, G. E. B. (1993). A Study on the Pollen Flora of Sudan. Review of Palaeobotany and Palynology, 76, 99-345.",
"Bottema, S. 1974. Late Quaternary vegetation history of northwestern Greece. Doctoral dissertation. University of Groningen, Groningen, The Netherlands.","Huysmans, S., Robbrecht, E., & Smets, E. (1994). Are the genera Hallea and Mitragyna (Rubiaceae-Coptosapelteae) pollen morphologically distinct?. Blumea: Biodiversity, Evolution and Biogeography of Plants, 39(1/2), 321-340.","Gildenhuys, E., Ellis, A. G., Carroll, S. P., & Le Roux, J. J. (2015). Combining natal range distributions and phylogeny to resolve biogeographic uncertainties in balloon vines (Cardiospermum, Sapindaceae). Diversity and Distributions, 21(2), 163-174.","ell, S.K., Mitchell, J.D., Miller, A.J., Lobova, T.A. (2010). Anacardiaceae. In: Kubitzki, K. (eds) Flowering Plants. Eudicots. The Families and Genera of Vascular Plants, vol 10.",
