Pollen_type_SM_morphological,African_coast,Madagascar,South_Africa,Eastern_Tropical_Africa,Zambezian,Guineo-Congolian,Sudanian,Sahel,Sahara,Mediterranean,Temperate,Asia,Arabia,America,Australia,Exotic_Introduced,Cosmopolitan,Widespread,Reference #1,Reference #2,Reference #3,Reference #4,Reference #5,Reference #6,Reference #7,Reference #8,Observations
Bombax,,,,,,x,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,According to White (1983) present only in the Sudanian region
Boraginaceae undif.,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,"Schüler, L., & Hemp, A. (2016). Atlas of pollen and spores and their parent taxa of Mt Kilimanjaro and tropical East Africa. Quaternary International, 425, 301–386. https://doi.org/10.1016/j.quaint.2016.07.038",,,,,,,,According to Hely (2014) present only in the Saharan region
Borreria t.,,,x,x,,x,x,x,,,,,,,,,,,"Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,,"Hély (2014) as ""Spermacoce"""
Boscia,,,x,x,,,x,x,x,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Watrin J., Lézine A.M, Hély C. (2009). Plant migration and plant communities at the time of the “green Sahara”. Comptes Rendus. Géoscience, Histoire climatique des déserts d'Afrique et d'Arabie, Volume 341. no. 8-9, pp. 656-670. doi:10.1016/j.crte.2009.06.007.  ","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,
Bosqueia,,,,,,x,,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,
Boswellia,,,,x,,,x,x,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,
Brachystegia,,,,x,,x,,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,
Brassicaceae,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,"El Ghazali, G. E. B. (1993). A study on the pollen flora of Sudan. Review of Palaeobotany and Palynology, 76, 99-345.",,,,,,,,Hély (2014) only in Saharan-Sahel
Bridelia,,,x,x,,x,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,
Bryonia,,,,,,,,,,x,x,x,x,,,,,,Kujawska and Svanberg 2019 Journal of Ethnobiology and Ethnomedicine,,,,,,,,In White (1983) is in the Mediterranean/Sahara regional transition zon
Burkea,,,x,,x,x,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,
Butomus,,,,,,,,,,x,x,x,x,,,,,,"Cook, C. D., Gut, B. J., Rix, E. M., & Schneller, J. (1974). Water plants of the world: a manual for the identification of the genera of freshwater macrophytes. Springer Science & Business Media.",,,,,,,,
Buxus,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,"Proctor (2012). Flora of the Cayman Isands (Second Edition). Royal Botanic Gardens, Kew",,,,,,,,In White (1983) is in the Mediterranean zone and in the Somalia-Masai regional centre of endemism
Cadaba,,,x,x,,,x,x,x,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Watrin J., Lézine A.M, Hély C. (2009). Plant migration and plant communities at the time of the “green Sahara”. Comptes Rendus. Géoscience, Histoire climatique des déserts d'Afrique et d'Arabie, Volume 341. no. 8-9, pp. 656-670. doi:10.1016/j.crte.2009.06.007.  ","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,"In White (1983) only in Sahel, in Watrin (2009) is tropical-sahelian, no saharan"
Cadia,,,,x,,,,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,"According to White (1983) Cadia is in Somalia-Masai regional centre of endemism and otherwise only known from Madagascar, and some geophytic Somalia-Masai Euphorbias are more closely related to Malagasy than to African species"
Caesalpinia,,,x,x,,x,,,,,,,,,,,,,"Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,,"According to White (1983) only in the Somalia-Masai regional centre. Lewis, B. Schrire, B. MacKinder & M. Lock. (2005) Royal Botanic Gardens, Kew: 10 in Africa (1 endemic in Congo [Kinshasa], 5 restricted to southern Africa, 4 restricted to the E and NE, with 1 extending into Oman, S Yemen and Arabia)"
Caesalpiniaceae undif.,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,"Schüler, L., & Hemp, A. (2016). Atlas of pollen and spores and their parent taxa of Mt Kilimanjaro and tropical East Africa. Quaternary International, 425, 301–386. https://doi.org/10.1016/j.quaint.2016.07.038",,,,,,,,"Schüler & Hemp (2016): The family is distributed in the Paleotropics, Neotropics, the Cape Region, and Australia."
Calicotome,,,,,,,,,,x,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Lock, M. (2005). Legumes of the World (Vol. 577). G. P. Lewis, B. Schrire, & B. Mackinder (Eds.). Kew: Royal Botanic Gardens.",,,,,,,
Calligonum,,,,,,,,x,x,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Watrin J., Lézine A.M, Hély C. (2009). Plant migration and plant communities at the time of the “green Sahara”. Comptes Rendus. Géoscience, Histoire climatique des déserts d'Afrique et d'Arabie, Volume 341. no. 8-9, pp. 656-670. doi:10.1016/j.crte.2009.06.007.  ","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,
Callitriche,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,"Philbrick C.T, Les D.H. (2000) Aquatic Botany",,,,,,,,
Calluna,,,,,,,,,,x,x,x,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,
Calotropis procera,,x,x,x,x,x,x,x,x,x,,x,x,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS","Goyder, D. J., Gilbert, M. G. & Venter, H. J. T. (2020). Apocynaceae (part 2). In: M. A. García (ed.), Flora Zambesiaca, Vol. 7(3). Royal Botanic Gardens, Kew",,,,,,"Goyder, D. J., Gilbert, M. G. & Venter, H. J. T. (2020). Flora Zambesiaca, Vol. 7(3).: Zambia, Zimbabwe, Malawi, Mozambique. Drier parts of tropical Africa, Arabia and south Asia; naturalised elsewhere in the tropics. According to El Ghazali (1993) is Widespread. According to White (1983) is widespread in the drier parts of Africa and beyond (also in the Sahara)"
Campanulaceae,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,"Schüler, L., & Hemp, A. (2016). Atlas of pollen and spores and their parent taxa of Mt Kilimanjaro and tropical East Africa. Quaternary International, 425, 301–386. https://doi.org/10.1016/j.quaint.2016.07.038",,,,,,,,
Cannabaceae undif.,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,"Schüler, L., & Hemp, A. (2016). Atlas of pollen and spores and their parent taxa of Mt Kilimanjaro and tropical East Africa. Quaternary International, 425, 301–386. https://doi.org/10.1016/j.quaint.2016.07.038",,,,,,,,
Cannabis,,,,,,,,,,,,x,,,,x,,,"Warf, B. (2014). Geographical Review",,,,,,,,
Canthium,,,,x,,x,,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,
Caperonia,,,,,,x,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,
Capparaceae undif.,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,"Schüler, L., & Hemp, A. (2016). Atlas of pollen and spores and their parent taxa of Mt Kilimanjaro and tropical East Africa. Quaternary International, 425, 301–386. https://doi.org/10.1016/j.quaint.2016.07.038",,,,,,,,
Capparis,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,Inocencio et al. (2006) Annals of the Missouri Botanical Garden,,,,,,,,According to Watrin (2009) is tropical-sahelian.
Caprifoliaceae undif.,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,"Simpson M.G. (2010) Plant Systematics (Second Edition), 2010",,,,,,,,
Cardiospermum,x,x,x,x,x,x,x,x,,,,x,x,x,x,,,,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS","Gildenhuys, E., Ellis, A. G., Carroll, S. P., & Le Roux, J. J. (2015). Combining natal range distributions and phylogeny to resolve biogeographic uncertainties in balloon vines (Cardiospermum, Sapindaceae). Diversity and Distributions, 21(2), 163-174.",,,,,,,According to Hely (2014) is in Guineo-Congolian-Sudanian area
Cardueae undif.,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,"Barres, L., Sanmartín, I., Anderson, C. L., Susanna, A., Buerki, S., Galbany?Casals, M., & Vilatersana, R. (2013). Reconstructing the evolution and biogeographic history of tribe Cardueae (Compositae). American Journal of Botany, 100(5), 867-882.",,,,,,,,
Carissa,,,x,x,,,x,x,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,
Carpinus,,,,,,,,,,x,x,x,,x,,,,,"Pijut, P. M. (2008). Carpinus. Woody plant seed manual, Agriculture Handbook, 727, 328-332.","Watrin J., Lézine A.M, Hély C. (2009). Plant migration and plant communities at the time of the “green Sahara”. Comptes Rendus. Géoscience, Histoire climatique des déserts d'Afrique et d'Arabie, Volume 341. no. 8-9, pp. 656-670. doi:10.1016/j.crte.2009.06.007.  ",,,,,,,
Carya,,,,,,,,,,,,x,,x,,x,,,"An-Ming, L., & Zhi-Yun, Z. (1990). The differentiation, evolution and systematic relationship of Juglandales. Journal of Systematics and Evolution, 28(2), 96.",,,,,,,,
Caryophyllaceae undif.,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,"Larsen, K. (2002). Caryophyllaceae. Flora Malesiana - Series 1, Spermatophyta, 16(1), 1–51.",,,,,,,,According to El Ghazali (1993); Schüler & Hemp (2016) is mainly in Temperate regions. According to Hely (2014) in Sudanian-Sahel-Saharan
Cassia,,,,x,,x,x,x,x,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,
Castanea,,,,,,,,,,x,x,x,,x,,,,,Mellano et al. 2012 Genet Resour Crop Evol,,,,,,,,
Casuarina,,,,,,,,,,,,x,,,x,x,,,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS","Utteridge, T. M. A., & Jennings, L. V. S. (2022). Trees of New Guinea. Kew Publishing, Royal Botanic Gardens, Kew.",,,,,,,"According to Timothy et al. 2022: mostly Australian, including the widespread littoral species Casuarina equesitifolia L., which occurs in southern India, throughout Malesia, Australia and the Pacific. Five species in New Guineo, one in the Solomon Islands."
Catha,,,x,x,,,,,,,,,,,,,,,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,,
Cathaya,,,,,,,,,,,,x,,,,x,,,Manchester et al. (2009) Journal of Systematics and Evolution,,,,,,,,
Caucanthus,,,,x,,,,,,,,,,,,,,,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,,"Genus of three species in eastern Africa from Somalia and Ethiopia to Mozambique and Zimbabwe, and in S Arabia."
Caylusea,,,,,,,,,x,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,
Cayratia,,,,,,,x,,,,,,,,,,,,"Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,,
Cedrus,,,,,,,,,,x,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,
Ceiba,,,,,,x,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,
Celastraceae undif.,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,"Schüler, L., & Hemp, A. (2016). Atlas of pollen and spores and their parent taxa of Mt Kilimanjaro and tropical East Africa. Quaternary International, 425, 301–386. https://doi.org/10.1016/j.quaint.2016.07.038",,,,,,,,
Celosia type,x,x,x,x,x,x,x,x,,,,x,x,x,,,,,"Li, S.T. (2023) Chinese Medicine",,,,,,,,"According to Hély (2014) Sudanian-Sahel. This genus has 60 species in total, most of which are found in subtropical and temperate regions of Africa from which the genus originated, the Americas, and Asia (Li 2023)"
Celtis,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,,According to Watrin (2009): Tropical-Sudanian
Centaurea,,,,x,x,x,x,x,,x,x,x,x,,,,,,"Roché and Roché (1992) In book: Noxious Range Weeds. CRC Press; Ghazanfar, S. A., Edmondson, J. R. & Hind, D. J. N. (Eds). (2019). Flora of Iraq, Volume 6: Compositae.Kew Publishing",,,,,,,,
Centranthus t.,,,,,,,,,,x,,,,,,,,,Richardson (1975) Botanical Journal of the Linnean Society,,,,,,,,
Ceratonia,,,,,,,,,x,x,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,
Ceratophyllum,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,Szalontai et al. (2018) Botanical Journal of the Linnean Society,,,,,,,,
Cercis,,,,,,,,,,x,x,x,x,x,,,,,"G. Lewis, B. Schrire, B. MacKinder & M. Lock. Royal Botanic Gardens, Kew. (2005)",,,,,,,,
Chamaerops,,,,,,,,,,x,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,
Chascanum,,,x,x,,,,x,x,,,,,,,,,,"Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,,
Chionanthus,,,,,,,,,,,,x,,x,x,x,,,"Utteridge, T. M. A., & Jennings, L. V. S. (2022). Trees of New Guinea. Kew Publishing, Royal Botanic Gardens, Kew.",,,,,,,,A pantropical and subtropical genus (with two species in the temperate region) of about 60 species; in New Guineo eight species are recorded.
